name,rating,fields,employee_counts,company_types,ages,locations
Ford Business Solutions,4.6,IT Services & Consulting,10k-50k Employees,25 years old,Chennai +33 more,
HIL,4.0,Building Material,1k-5k Employees,Public,77 years old,Hyderabad/Secunderabad +60 more
Thermo Fisher Scientific,3.9,Pharma,1k-5k Employees,Forbes Global 2000,67 years old,Waltham +25 more
Turbo Energy,4.2,Auto Components,1k-5k Employees,40 years old,Chennai +17 more,
Aisin Automotive Haryana,4.0,Auto Components,201-500 Employees,12 years old,Gurgaon/Gurugram +17 more,
Nlb Services,4.0,Recruitment,1k-5k Employees,16 years old,Alpharetta +17 more,
Jaro Education,2.8,EdTech,501-1k Employees,14 years old,Mumbai +17 more,
Geojit Financial Services,3.8,1k-5k Employees,Public,36 years old,Kochi +119 more,
Aequs,3.7,Defence & Aerospace,1k-5k Employees,26 years old,Belagavi/Belgaum +11 more,
Courtyard by Marriott,4.2,Hospitality,1k-5k Employees,Public,96 years old,Bethesda +35 more
Embibe,3.2,EdTech,1k-5k Employees,Startup,11 years old,Bangalore +15 more
Poly Medicure,3.6,Medical Equipment,5k-10k Employees,Public,26 years old,Delhi/NCR +28 more
Shivam Autotech,3.6,Auto Components,501-1k Employees,Public,25 years old,Gurgaon/Gurugram +16 more
Mynd Solutions Private,3.7,BPO,1k-5k Employees,21 years old,Kelowna +28 more,
AVTEC,3.7,Auto Components,1k-5k Employees,Conglomerate,18 years old,Delhi/NCR +14 more
Ramky Infrastructure,4.1,Real Estate,1k-5k Employees,Public,29 years old,Hyderabad +43 more
Bluestream Software Solution,4.7,IT Services & Consulting,1k-5k Employees,New Delhi +8 more,,
National Informatics Centre,4.0,IT Services & Consulting,5k-10k Employees,Central,47 years old,New Delhi +60 more
Hilton,4.3,Hospitality,1k-5k Employees,Forbes Global 2000,104 years old,Mclean +29 more
MAS Financial Services,3.7,Financial Services,1k-5k Employees,Public,28 years old,Ahmedabad +86 more
Dhani Healthcare,3.6,FinTech,1k-5k Employees,Gurgaon/Gurugram +77 more,,
Microtek International,3.6,Consumer Electronics & Appliances,201-500 Employees,43 years old,Delhi/NCR +74 more,
Educomp Solutions,3.6,EdTech,11-50 Employees,Public,29 years old,Gurgaon/Gurugram +109 more
Affinity Express,3.1,Marketing & Advertising,1k-5k Employees,30 years old,Elgin +6 more,
Steel Authority Of India,4.0,Iron & Steel,10k-50k Employees,Public,69 years old,Delhi/NCR +29 more
DP World,3.9,Logistics,1k-5k Employees,Public,18 years old,Dubai +47 more
Orient Electric,3.9,Consumer Electronics & Appliances,501-1k Employees,Public,69 years old,Delhi/NCR +44 more
BEML,4.0,Railways,5k-10k Employees,Fortune India 500,59 years old,Bangalore/Bengaluru +29 more
NRB Bearings,4.1,Auto Components,1k-5k Employees,Public,58 years old,Mumbai +18 more
Digit Insurance,3.7,Insurance,1k-5k Employees,Fortune India 500,7 years old,Bengaluru/Bangalore +51 more
Medreich,3.7,Pharma,1k-5k Employees,47 years old,Bangalore/Bengaluru +12 more,
Shyam Steel Industries,3.7,Metals & Mining,1k-5k Employees,70 years old,Kolkata +45 more,
Saudi Aramco,4.5,Oil & Gas,1k-5k Employees,Forbes Global 2000,90 years old,Dhahran +25 more
Vijay Sales,4.2,Retail,1k-5k Employees,56 years old,Mumbai +36 more,
Teamware Solutions,4.2,IT Services & Consulting,501-1k Employees,20 years old,Chennai +14 more,
Ongc Petro Additions,4.0,Petrochemicals,1k-5k Employees,Public,17 years old,Vadodara/Baroda +22 more
Principal Global Services,4.2,Insurance,1k-5k Employees,Forbes Global 2000,17 years old,Des Moines +8 more
Dhanuka Agritech,3.8,Agro Chemicals,1k-5k Employees,Public,41 years old,Gurgaon/Gurugram +75 more
Progressive Infovision,4.3,Recruitment,1k-5k Employees,22 years old,Delhi/NCR +69 more,
Times Group,3.8,Printing & Publishing,5k-10k Employees,185 years old,Mumbai +42 more,
Renault,4.2,Automobile,10k-50k Employees,Forbes Global 2000,125 years old,Boulogne Billancourt Cedex +133 more
Cigniti Technologies,3.8,IT Services & Consulting,1k-5k Employees,Public,25 years old,Irving +5 more
Marsh McLennan,4.0,Financial Services,1k-5k Employees,Forbes Global 2000,152 years old,New York +18 more
Vivanta by Taj,4.2,Hospitality,1k-5k Employees,13 years old,Gurgaon/Gurugram +37 more,
House Of Anita Dongre,4.1,Fashion & Textile,1k-5k Employees,25 years old,Navi Mumbai +41 more,
Apar Industries,4.0,Electrical Equipment,1k-5k Employees,Public,65 years old,Vadodara/Baroda +46 more
Vaco Binary Semantics,3.5,IT Services & Consulting,1k-5k Employees,7 years old,Gurgaon/Gurugram +23 more,
Medicover Hospitals,3.8,Healthcare,5k-10k Employees,12 years old,Hyderabad +26 more,
Poorvika Mobiles,4.7,Retail,1k-5k Employees,19 years old,Chennai +68 more,
BT E Serv,4.2,Telecom,201-500 Employees,Public,16 years old,Delhi/NCR +5 more
Credence Resource Management,3.5,BPO,501-1k Employees,9 years old,Dallas +3 more,
Rungta Mines,4.0,Metals & Mining,1k-5k Employees,Public,61 years old,Singhbum +15 more
Orient Cement,4.3,Building Material,1k-5k Employees,Public,44 years old,Hyderabad/Secunderabad +54 more
Travel Food Services,3.9,Hospitality,1k-5k Employees,14 years old,Mumbai +22 more,
Hi Tech Gears,3.9,Auto Components,501-1k Employees,Public,37 years old,Gurgaon/Gurugram +34 more
Inox Wind,3.5,Electrical Equipment,501-1k Employees,Public,14 years old,Noida +38 more
Goodyear,3.9,Auto Components,1k-5k Employees,Public,125 years old,Akron +46 more
Guidehouse,3.9,IT Services & Consulting,1k-5k Employees,20 years old,Trivandrum/Thiruvananthapuram +8 more,
Accel Frontline,3.8,IT Services & Consulting,51-200 Employees,32 years old,Chennai +58 more,
Greenply,3.9,Furniture & Furnishing,1k-5k Employees,Public,39 years old,Gurgaon/Gurugram +65 more
Neuland Laboratories,4.2,Pharma,1k-5k Employees,Public,39 years old,Hyderabad/Secunderabad +5 more
Sutherland Healthcare Solutions,3.9,Analytics & KPO,1k-5k Employees,21 years old,Clifton +8 more,
Dodsal Engineering & Construction,4.4,Engineering & Construction,501-1k Employees,Conglomerate,40 years old,Dubai +31 more
ATS Infrastructure,3.8,Real Estate,1k-5k Employees,25 years old,Noida +10 more,
MothersonSumi INfotech & Designs,3.3,IT Services & Consulting,1k-5k Employees,23 years old,Noida +12 more,
BankBazaar,3.3,FinTech,1k-5k Employees,15 years old,Chennai +9 more,
Action Construction Equipment,3.8,Engineering & Construction,1k-5k Employees,Public,28 years old,Delhi/NCR +40 more
Shriram Finance,3.9,NBFC,51-200 Employees,44 years old,Mumbai +184 more,
Maveric Systems,3.8,IT Services & Consulting,1k-5k Employees,Public,23 years old,Chennai +7 more
Jubilant Generics,4.0,Pharma,5k-10k Employees,10 years old,Noida +18 more,
HBL Power Systems,3.8,Electrical Equipment,1k-5k Employees,Public,46 years old,Hyderabad/Secunderabad +41 more
Writer Corporation,3.7,Facility Management Services,10k-50k Employees,70 years old,Mumbai +67 more,
TTK Prestige,4.0,1k-5k Employees,Public,68 years old,Bangalore/Bengaluru +62 more,
ChannelPlay,3.8,Marketing & Advertising,1k-5k Employees,17 years old,Gurgaon/Gurugram +54 more,
Qatar Airways,4.2,Aviation,5k-10k Employees,30 years old,Doha +19 more,
Cloudnine Hospital,4.0,Healthcare,1k-5k Employees,16 years old,Bangalore +22 more,
Navitasys India,3.9,Electrical Equipment,201-500 Employees,Bawal +18 more,,
Holiday Inn,4.2,Hospitality,1k-5k Employees,71 years old,Memphis +45 more,
Amadeus,4.1,IT Services & Consulting,1k-5k Employees,Forbes Global 2000,36 years old,Bengaluru/Bangalore +13 more
3M,4.2,FMCG,1k-5k Employees,Public,36 years old,Saint Paul +38 more
Renovision Automation Services,3.7,IT Services & Consulting,1k-5k Employees,17 years old,New Delhi +62 more,
My Home Industries,4.2,Real Estate,201-500 Employees,26 years old,Hyderabad/Secunderabad +50 more,
Centum Learning,3.7,Education & Training,1k-5k Employees,16 years old,Delhi/NCR +70 more,
Ask Automotive,4.2,Auto Components,5k-10k Employees,35 years old,Gurgaon/Gurugram +22 more,
Infra.Market,3.9,Building Material,1k-5k Employees,Indian Unicorn,7 years old,Thane +55 more
CDK Global,3.6,Software Product,1k-5k Employees,51 years old,Hoffman Estates +4 more,
Hilti,3.8,Real Estate,501-1k Employees,82 years old,Schaan +32 more,
Saint Gobain Glass,4.0,Building Material,Chennai +44 more,,,
Yatra,3.6,Travel & Tourism,501-1k Employees,17 years old,Gurgaon +20 more,
United Colors of Benetton,4.2,Retail,201-500 Employees,31 years old,Gurgaon/Gurugram +60 more,
Visteon,3.9,Auto Components,1k-5k Employees,23 years old,Detroit +13 more,
Visteon,3.9,Auto Components,1k-5k Employees,23 years old,Detroit +13 more,
Genesys International Corporation,3.8,IT Services & Consulting,1k-5k Employees,Public,28 years old,Mumbai +11 more
Greenlam Industries,4.2,Building Material,1k-5k Employees,Public,10 years old,Delhi/NCR +59 more
Samunnati Financial Intermediation and Services,4.4,Financial Services,501-1k Employees,Startup,9 years old,Chennai +48 more
Housing.com,3.8,Internet,1k-5k Employees,Startup,11 years old,Gurgaon +30 more
McNally Bharat Engineering,4.3,Engineering & Construction,1k-5k Employees,Public,62 years old,Kolkata +45 more
TVS Electronics,3.8,Consumer Electronics & Appliances,501-1k Employees,Public,37 years old,Chennai +55 more
Orient Craft,3.7,Fashion & Textile,10k-50k Employees,47 years old,Gurgaon/Gurugram +12 more,
Akal Information Systems,4.3,IT Services & Consulting,501-1k Employees,24 years old,Delhi/NCR +32 more,
Schindler Group,3.9,Industrial Machinery,1k-5k Employees,26 years old,Ebikon +47 more,
Central Reserve Police Force,4.6,Government,1 Lakh+ Employees,Central,84 years old,Delhi/NCR +71 more
ALLEN Career Institute,4.0,Education & Training,10k-50k Employees,35 years old,Kota +46 more,
Vadilal Industries,4.1,FMCG,501-1k Employees,Public,116 years old,Ahmedabad +64 more
Sterlite Power Transmission,3.9,Power,501-1k Employees,Fortune India 500,13 years old,Delhi/NCR +52 more
Expleo Solutions,3.9,IT Services & Consulting,1k-5k Employees,Chennai +10 more,,
Zepto,3.7,Internet,1k-5k Employees,Indian Unicorn,2 years old,Mumbai +20 more
Triveni Engineering & Industries,4.0,Food Processing,1k-5k Employees,Public,91 years old,Mysore/Mysuru +43 more
Jyothy Laboratories,4.1,FMCG,1k-5k Employees,40 years old,Mumbai +97 more,
Forbes Marshall,4.0,Industrial Machinery,1k-5k Employees,98 years old,Pune +22 more,
TCI Express,3.9,Logistics,1k-5k Employees,Public,27 years old,Gurugram  +65 more
eTeam,3.3,Recruitment,1k-5k Employees,24 years old,South Plainfield +13 more,
Grab A Grub Services,3.9,Logistics,51-200 Employees,10 years old,Mumbai +87 more,
GAO Tek,4.5,Electrical Equipment,201-500 Employees,18 years old,New York +17 more,
OpenText Technologies,3.9,Software Product,1k-5k Employees,32 years old,Waterloo +7 more,
JK Tech,3.8,IT Services & Consulting,501-1k Employees,Public,29 years old,Noida +18 more
Bisk Farm,3.9,Food Processing,201-500 Employees,23 years old,Kolkata +76 more,
IDEMIA,4.0,Law Enforcement & Security,1k-5k Employees,6 years old,Courbevoie +29 more,
Kellogg,4.3,Food Processing,501-1k Employees,Forbes Global 2000,117 years old,Battle Creek +64 more
Quality Austria Central Asia,3.3,Other,201-500 Employees,13 years old,Delhi/NCR +44 more,
Avalon Technologies,3.9,Electronics Manufacturing,501-1k Employees,21 years old,Chennai +10 more,
TO THE NEW,3.9,IT Services & Consulting,1k-5k Employees,15 years old,Singapore +10 more,
Y-Axis Overseas Careers,3.5,Other,1k-5k Employees,24 years old,Hyderabad/Secunderabad +14 more,
Fiat India Automobiles,3.7,Automobile,1k-5k Employees,26 years old,Mumbai +16 more,
PPG Asian Paints,3.9,1k-5k Employees,26 years old,Mumbai +49 more,,
Medley Pharmaceuticals,4.1,Pharma,1k-5k Employees,Public,54 years old,Mumbai +57 more
Surya Roshni,4.1,Real Estate,1k-5k Employees,Public,50 years old,Delhi/NCR +54 more
ShareChat,3.8,Internet,1k-5k Employees,Indian Unicorn,8 years old,Bangalore +27 more
Zydus Healthcare,4.2,Mumbai +57 more,,,,
RITES,4.0,BPO,1k-5k Employees,Central,49 years old,Gurgaon/Gurugram +53 more
Siemens Energy,4.2,Power,1k-5k Employees,176 years old,Munich +31 more,
Siemens Energy,4.2,Power,1k-5k Employees,176 years old,Munich +31 more,
Freshworks,3.7,Software Product,1k-5k Employees,Public,13 years old,San Mateo +28 more
Patel Infrastructure,4.0,Engineering & Construction,201-500 Employees,51 years old,Vadodara/Baroda +40 more,
Carborundum Universal,3.9,Metals & Mining,1k-5k Employees,Public,69 years old,Chennai +31 more
Bunge India,4.0,Food Processing,1k-5k Employees,Forbes Global 2000,23 years old,Chesterfield +45 more
Recpdcl.ltd,4.0,Facility Management Services,1k-5k Employees,Central,16 years old,Noida +62 more
Zetwerk Manufacturing Businesses,3.9,Iron & Steel,1k-5k Employees,Indian Unicorn,5 years old,Bangalore +60 more
Gestamp,3.6,Auto Components,501-1k Employees,26 years old,Madrid +7 more,
Amul Dairy,4.2,Food Processing,1k-5k Employees,75 years old,Anand +102 more,
Dimension Data,4.1,IT Services & Consulting,1k-5k Employees,40 years old,Bryanston +51 more,
Yokogawa,3.6,Auto Components,1k-5k Employees,108 years old,Tokyo +21 more,
UnitedLex,3.2,Legal,1k-5k Employees,17 years old,New York +4 more,
Voltech,3.5,Consumer Electronics & Appliances,501-1k Employees,35 years old,Chennai +34 more,
Updater Services,3.7,Facility Management Services,50k-1 Lakh Employees,38 years old,Chennai +54 more,
Magneti Marelli Motherson Auto System,3.8,Auto Components,11-50 Employees,15 years old,Pune +15 more,
CTS Consulting & Technical Support,3.8,IT Services & Consulting,201-500 Employees,15 years old,Eysines +27 more,
IL&FS Engineering and Construction,4.5,Engineering & Construction,1k-5k Employees,Public,35 years old,Hyderabad/Secunderabad +45 more
Sulekha.com,4.3,Internet,1k-5k Employees,16 years old,Chennai +19 more,
Asb International,4.0,Industrial Machinery,1k-5k Employees,26 years old,Thane +11 more,
Crompton Greaves Consumer Electricals,3.7,Consumer Electronics & Appliances,1k-5k Employees,Mumbai +61 more,,
Jai Balaji Group,3.6,Iron & Steel,10k-50k Employees,Public,24 years old,Kolkata +23 more
Adidas,4.0,Fashion & Textile,5k-10k Employees,Public,74 years old,Herzogenaurach +48 more
CARE,4.3,Financial Services,51-200 Employees,73 years old,Noida +98 more,
Glorious Insight,4.9,IT Services & Consulting,201-500 Employees,Noida +2 more,,
Ziqitza Health Care,4.1,Healthcare,5k-10k Employees,Public,18 years old,Mumbai +47 more
Coal India,4.0,Metals & Mining,1 Lakh+ Employees,Public,48 years old,Kolkata +45 more
Scope International,4.1,Non-Profit,201-500 Employees (Global),22 years old,Mannheim +5 more,
Franklin Templeton Investments,4.3,Financial Services,1k-5k Employees,76 years old,San Mateo +15 more,
Allied Digital Services,3.4,IT Services & Consulting,1k-5k Employees,Public,28 years old,Mumbai +37 more
Shriram Automall,4.0,Automobile,1k-5k Employees,12 years old,Delhi/NCR +91 more,
Qualitest,3.7,IT Services & Consulting,1k-5k Employees,26 years old,Bridgewater +9 more,
Fedbank Financial Services,4.1,NBFC,1k-5k Employees,13 years old,Mumbai +104 more,
le méridien,4.2,Hospitality,5k-10k Employees,51 years old,Paris +23 more,
Tracxn,3.3,IT Services & Consulting,501-1k Employees,Startup,10 years old,Bangalore +6 more
Hitachi Vantara,3.9,IT Services & Consulting,1k-5k Employees,5 years old,Santa Clara +12 more,
Orient Technologies,3.8,IT Services & Consulting,1k-5k Employees,Forbes Global 2000,31 years old,Chiyoda-ku +38 more
Lear Corporation,4.1,Auto Components,1k-5k Employees,Public,106 years old,Southfield +15 more
Bharat Serums and Vaccines,3.9,Pharma,1k-5k Employees,52 years old,Mumbai +42 more,
Medtronic,4.0,Medical Equipment,1k-5k Employees,Forbes Global 2000,44 years old,Mumbai +34 more
NBTC GROUP,3.6,Oil & Gas,501-1k Employees,46 years old,Al Ahmadi +24 more,
HLL Lifecare,3.6,Healthcare,1k-5k Employees,Central,57 years old,Trivandrum/Thiruvananthapuram +90 more
Eli Research,3.5,IT Services & Consulting,51-200 Employees,32 years old,Faridabad +9 more,
Patel Engineering,4.0,Engineering & Construction,1k-5k Employees,Public,74 years old,Mumbai +46 more
Zee Entertainment Enterprises,3.9,Media & Entertainment,1k-5k Employees,Public,31 years old,Mumbai +28 more
Ministry of Defence,4.4,Defence & Aerospace,10k-50k Employees,Central,76 years old,Delhi/NCR +59 more
Livpure,4.1,Consumer Electronics & Appliances,1k-5k Employees,13 years old,Gurgaon +70 more,
Forever Living Products,4.4,Beauty & Personal Care,11-50 Employees,45 years old,Scottsdale +48 more,
MOURI Tech,3.9,IT Services & Consulting,1k-5k Employees,18 years old,Hyderabad/Secunderabad +6 more,
Essjay Ericsson,4.1,Industrial Machinery,1k-5k Employees,52 years old,Delhi +74 more,
Kidzee,4.2,EdTech,1k-5k Employees,20 years old,Ernakulam +103 more,
Cargill Business Services,4.0,BPO,1k-5k Employees,8 years old,Wayzata +7 more,
Okaya Power,3.8,Electrical Equipment,501-1k Employees,36 years old,Delhi/NCR +69 more,
Levi Strauss & Co.,4.5,Retail,201-500 Employees,Public,170 years old,San Francisco +67 more
Vestige,4.3,Fitness & Wellness,501-1k Employees,19 years old,Delhi/NCR +92 more,
Clarivate,3.9,Analytics & KPO,1k-5k Employees,Public,7 years old,Philadelphia +11 more
Rackspace,3.9,IT Services & Consulting,1k-5k Employees,25 years old,San Antonio +8 more,
Magus Customer Dialog,3.7,BPO,51-200 Employees,34 years old,Pune +15 more,
ZTE Corporation,4.0,IT Services & Consulting,201-500 Employees,Forbes Global 2000,20 years old,shenzhen +43 more
Central Public Works Department,4.2,Government,10k-50k Employees,169 years old,Delhi/NCR +96 more,
BharatMatrimony.com,3.8,Internet,1k-5k Employees (Global),26 years old,Chennai +29 more,
Keventer,3.9,FMCG,501-1k Employees,37 years old,Kolkata +48 more,
Family Health Plan,3.9,Insurance,1k-5k Employees,28 years old,Hyderabad/Secunderabad +26 more,
Lohia Group,3.7,Industrial Machinery,1k-5k Employees,Public,47 years old,Kanpur +17 more
Tata Electronics,3.8,Semiconductors,11-50 Employees,Startup,Krishnagiri +7 more,
Victora Group,3.9,Automobile,201-500 Employees,32 years old,Faridabad +20 more,
Ind-Swift Laboratories,3.7,1k-5k Employees,Public,28 years old,Chandigarh +24 more,
BDO India LLP,3.6,Accounting & Auditing,5k-10k Employees,50 years old,New Delhi +23 more,
Genus Power Infrastructures,3.9,Consumer Electronics & Appliances,1k-5k Employees,Public,31 years old,Jaipur +39 more
nThrive Global Solutions,3.9,IT Services & Consulting,501-1k Employees,20 years old,Alpharetta +8 more,
Nomura Holdings,3.9,Investment Banking / Venture Capital / Private Equity,1k-5k Employees,Public,14 years old,Mumbai +7 more
eMids Technologies,3.6,IT Services & Consulting,1k-5k Employees,24 years old,Franklin +4 more,
Offshore Infrastructures,4.1,Engineering & Construction,501-1k Employees,28 years old,Mumbai +36 more,
Cogoport,3.3,Internet,51-200 Employees,Startup,7 years old,Mumbai +12 more
Luxoft,4.1,IT Services & Consulting,1k-5k Employees,23 years old,Zug +13 more,
GlobalData,3.7,Analytics & KPO,1k-5k Employees,39 years old,London +7 more,
HRH Next Services,3.3,BPO,51-200 Employees,16 years old,Hyderabad/Secunderabad +8 more,
DealShare,3.3,Internet,1k-5k Employees,Indian Unicorn,5 years old,Jaipur +41 more
CIEL HR,4.0,Recruitment,501-1k Employees,Startup,8 years old,Bangalore +60 more
Nucleus Software Exports,3.8,Software Product,1k-5k Employees,Public,37 years old,Noida +11 more
Cairn Energy,4.1,Oil & Gas,1k-5k Employees,42 years old,Edinburgh +21 more,
Paras Dairy,3.6,FMCG,501-1k Employees,Public,36 years old,Delhi/NCR +47 more
Stock Holding Corporation of India,3.7,Financial Services,201-500 Employees,Public,37 years old,Mumbai +90 more
M3M India,4.2,Real Estate,201-500 Employees,38 years old,Gurgaon +6 more,
Emami Agrotech,3.8,Food Processing,1k-5k Employees,Public,21 years old,Kolkata +43 more
Sintex-bapl,3.7,Petrochemicals,501-1k Employees,Public,16 years old,Pune +44 more
Fidelity International,4.2,Investment Banking / Venture Capital / Private Equity,1k-5k Employees,54 years old,London +7 more,
Army Public School,4.2,Education & Training,5k-10k Employees (Global),49 years old,Delhi/NCR +75 more,
Wipro Digital,3.6,IT Services & Consulting,1k-5k Employees,8 years old,Brooklyn +22 more,
McKinsey & Company,4.0,Management Consulting,1k-5k Employees,97 years old,Chennai +14 more,
Nvidia,4.1,IT Services & Consulting,1k-5k Employees,Forbes Global 2000,30 years old,Santa Clara +7 more
Utility Powertech,3.9,Power,201-500 Employees,28 years old,Noida +76 more,
Rane NSK Steering Systems,4.1,201-500 Employees,Bawal +15 more,,,
Metso Outotec,4.3,Metals & Mining,1k-5k Employees,Alwar +34 more,,
Eicher Motors,4.2,Automobile,10k-50k Employees,Public,41 years old,Gurgaon +75 more
Nephroplus,4.0,Healthcare,501-1k Employees,14 years old,Hyderabad +80 more,
Varun Motors,4.0,Automobile,5k-10k Employees,30 years old,Hyderabad/Secunderabad +32 more,
Centaur Pharmaceuticals,3.7,Pharma,1k-5k Employees,45 years old,Mumbai +43 more,
CompuCom,4.0,IT Services & Consulting,1k-5k Employees,36 years old,Fort Mill +6 more,
Hitachi Energy,4.1,Power,1k-5k Employees,Fortune India 500,4 years old,Zurich +19 more
The Times of India,3.8,Printing & Publishing,1k-5k Employees,185 years old,New Delhi +47 more,
Veritas,4.1,Software Product,1k-5k Employees,Public,34 years old,Santa Clara +23 more
Testbook.com,3.6,EdTech,501-1k Employees,Startup,9 years old,Mumbai +18 more
Colt Technology Services,4.3,IT Services & Consulting,1k-5k Employees,31 years old,London +8 more,
Blackberrys,4.0,Fashion & Textile,10k-50k Employees,32 years old,Gurgaon/Gurugram +69 more,
Ramboll,4.3,Engineering & Construction,1k-5k Employees,78 years old,Copenhagen +27 more,
Vastu Housing Finance,4.3,Financial Services,1k-5k Employees,8 years old,Mumbai +100 more,
Metriqe Solutions,4.3,IT Services & Consulting,201-500 Employees,16 years old,Irving +1 more,
Almarai,4.3,Food Processing,1k-5k Employees,Forbes Global 2000,46 years old,Riyadh +29 more
Kissht Finance,4.0,FinTech,51-200 Employees,Startup,8 years old,Mumbai +53 more
Khazana Jewellery,3.9,Jewellery,501-1k Employees,34 years old,Chennai +47 more,
Wockhardt Hospital,4.2,Healthcare,1k-5k Employees,50 years old,Mumbai +18 more,
Fiem Industries,3.7,Auto Components,501-1k Employees,Public,34 years old,New Delhi +19 more
Psp Projects,3.9,Engineering & Construction,1k-5k Employees,15 years old,Ahmedabad +31 more,
PrimEra Medical Technologies,3.5,IT Services & Consulting,1k-5k Employees,8 years old,Hyderabad/Secunderabad +2 more,
Macawber Beekay,4.1,Industrial Machinery,1k-5k Employees,37 years old,Noida +33 more,
Bridgestone,4.2,Auto Components,1k-5k Employees,Forbes Global 2000,27 years old,Tokyo +44 more
NecLife,3.7,Pharma,1k-5k Employees,Public,28 years old,Chandigarh +15 more
Spoton Logistics,4.5,Logistics,1k-5k Employees,Startup,11 years old,Bangalore +70 more
Schoolnet India,3.8,EdTech,51-200 Employees,Public,26 years old,Noida +88 more
Sona Comstar,4.2,Auto Components,1k-5k Employees,Public,28 years old,Gurgaon +9 more
Oriental Structural Engineers,4.2,Engineering & Construction,1k-5k Employees,37 years old,Delhi/NCR +48 more,
Riya Travel,3.8,Travel & Tourism,1k-5k Employees,43 years old,Mumbai +35 more,
Ferrero,4.0,Food Processing,501-1k Employees,19 years old,Pune +58 more,
Saudi Binladin Group,4.3,Engineering & Construction,201-500 Employees,92 years old,Jeddah +23 more,
EaseMyTrip.com,4.1,Internet,201-500 Employees,Public,15 years old,Delhi +7 more
Marlabs,3.5,IT Services & Consulting,1k-5k Employees,27 years old,Piscataway +10 more,
Infor Global Solution,4.1,Software Product,1k-5k Employees,21 years old,New York +7 more,
Maxgen Technologies,4.6,IT Services & Consulting,201-500 Employees,10 years old,Mumbai +6 more,
Adarsh Credit Co-Operative Society,4.1,Investment Banking / Venture Capital / Private Equity,1k-5k Employees,24 years old,Ahmedabad +138 more,
Nihilent,3.7,IT Services & Consulting,1k-5k Employees,23 years old,Pune +4 more,
Suma Soft,3.8,IT Services & Consulting,1k-5k Employees,23 years old,Pune +7 more,
Vikram Solar,3.7,Power,1k-5k Employees,17 years old,Kolkata +26 more,
Salcomp Manufacturing,4.2,Electronics Manufacturing,1k-5k Employees,17 years old,Salo +10 more,
Baroda Global Shared Services,3.9,Banking,10k-50k Employees,Public,6 years old,Mumbai +63 more
Royaloak Incorporation,4.1,Retail,1k-5k Employees,21 years old,Bangalore/Bengaluru +26 more,
Cuemath,3.8,EdTech,1k-5k Employees,Startup,10 years old,Bangalore +18 more
Transport Corporation Of India,3.9,Logistics,1k-5k Employees,Public,65 years old,Gurgaon +67 more
Cpf India,4.1,Food Processing,501-1k Employees,29 years old,Bangalore/Bengaluru +45 more,
Finastra,4.0,Software Product,1k-5k Employees,Startup,6 years old,Paddington +12 more
L & W Constructions,3.6,Engineering & Construction,501-1k Employees,17 years old,Bangalore/Bengaluru +14 more,
PTC,4.2,Software Product,1k-5k Employees,Public,38 years old,Boston +33 more
Agrostar,4.0,Internet,1k-5k Employees,Startup,10 years old,Pune +28 more
Nelito System,3.4,IT Services & Consulting,501-1k Employees,28 years old,Navi Mumbai +33 more,
LIC Housing Finance,4.0,NBFC,1k-5k Employees,Public,34 years old,Mumbai +98 more
HBL Global,4.1,NBFC,11-50 Employees,23 years old,Mumbai +78 more,
Vasudha Pharma Chem,3.9,Pharma,1k-5k Employees,Public,28 years old,Hyderabad/Secunderabad +6 more
Prochant,4.3,Medical Equipment,1k-5k Employees,24 years old,Chennai +6 more,
Pyramid IT Consulting,3.4,Recruitment,1k-5k Employees,27 years old,Atlanta +20 more,
B.L. Kashyap & Sons,3.8,Engineering & Construction,1k-5k Employees,45 years old,Delhi/NCR +22 more,
Tiger Analytics,3.5,IT Services & Consulting,1k-5k Employees,Startup,12 years old,Santa Clara +7 more
TELUS International Philippines,3.9,IT Services & Consulting,1k-5k Employees,18 years old,Pasig City +8 more,
NJ India Invest,3.9,Financial Services,1k-5k Employees,29 years old,Surat +73 more,
Amar Ujala,3.9,Printing & Publishing,1k-5k Employees,75 years old,Noida +47 more,
Becton Dickinson,4.1,Medical Equipment,1k-5k Employees,Forbes Global 2000,22 years old,Franklin Lakes +29 more
Rockwell Automation,4.0,Industrial Automation,1k-5k Employees,Forbes Global 2000,120 years old,Milwaukee +16 more
Encora,3.9,IT Services & Consulting,1k-5k Employees,18 years old,Scottsdale +9 more,
Karvy Data Management,3.1,Hyderabad/Secunderabad +38 more,,,,
Ness Technologies,3.5,IT Services & Consulting,1k-5k Employees,24 years old,Teaneck +9 more,
Innova Solutions,3.6,IT Services & Consulting,1k-5k Employees,17 years old,Santa Clara +18 more,
BSCPL Infrastructure,3.8,Engineering & Construction,1k-5k Employees,51 years old,Hyderabad/Secunderabad +35 more,
Hetero Healthcare,3.5,Pharma,1k-5k Employees,17 years old,Hyderabad/Secunderabad +53 more,
Amtek Auto,3.9,Auto Components,1k-5k Employees,Public,38 years old,Delhi/NCR +30 more
Bahwan Engineering,4.1,Engineering & Construction,201-500 Employees,Conglomerate,46 years old,Ruwi +20 more
Innova Solutions,3.6,IT Services & Consulting,1k-5k Employees,17 years old,Santa Clara +18 more,
BSCPL Infrastructure,3.8,Engineering & Construction,1k-5k Employees,51 years old,Hyderabad/Secunderabad +35 more,
Quislex Legal Services,4.1,Legal,501-1k Employees,19 years old,New York +4 more,
Practo,3.2,Internet,5k-10k Employees,15 years old,Bangalore +20 more,
